beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,sigma_manual,sigma_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
2.05076,2.01450,0.07362,0.06371,0.48276,0.46720,0.02494,0.02426,0.01998,-0.09630,-0.00354,0.01953,-0.08037,-0.04745,0.00793,-0.03923,0.04982,0.03532,0.07327,0.06351,-0.02425,0.01441,-0.01749,-0.04558,-0.09661,0.06654
1.99093,2.08333,0.04293,0.22219,0.49629,0.47795,0.01991,-0.00971,0.00816,0.03183,0.00247,-0.03045,0.07073,0.02861,0.06611,-0.14288,-0.00839,-0.03291,0.00784,0.00716,-0.08979,0.14439,-0.04668,-0.06959,-0.12501,0.23352
1.98067,2.02363,0.07665,0.10745,0.47025,0.45526,-0.02868,0.07015,0.06524,-0.08947,-0.05457,0.01897,-0.15310,-0.01038,-0.04886,-0.13866,0.05519,0.03420,0.05895,0.04035,-0.08663,0.12222,-0.00962,-0.04291,-0.14508,0.07250
2.02904,2.03443,0.01723,0.09534,0.50646,0.48065,-0.00168,-0.02472,-0.02464,0.01617,0.00348,-0.01104,0.03183,0.00329,0.02538,-0.13308,0.04059,0.05154,0.04426,0.03255,-0.07716,0.12836,0.04525,-0.01025,-0.14404,-0.00402
1.98067,1.98781,0.04090,0.08501,0.51087,0.46065,0.00086,-0.02324,0.01052,-0.03925,-0.03297,-0.01080,0.00027,0.00152,0.00505,-0.01978,0.05332,0.04783,0.10440,0.13278,-0.08281,0.00566,-0.07821,-0.02268,-0.08758,0.04434
2.01793,2.05152,0.09019,0.04219,0.48799,0.47380,0.03104,-0.00607,0.09531,0.03186,-0.10824,-0.13128,0.08583,-0.00481,0.00663,-0.09261,0.01971,0.02019,0.01066,0.01384,-0.02617,0.07108,0.04129,0.03546,-0.08261,-0.00676
1.92204,2.05068,0.06636,0.05102,0.45882,0.45812,0.04967,0.05565,0.01421,0.01181,0.02622,-0.01796,-0.12364,0.06678,-0.05557,0.01356,0.03826,-0.01920,0.05744,0.01745,0.00790,-0.00591,0.02769,-0.00022,-0.06466,0.05017
1.98744,2.03068,0.05472,0.03580,0.48972,0.47396,0.01619,0.04041,0.06332,-0.00963,0.02316,-0.01219,0.02446,0.04847,0.00852,-0.02177,-0.01777,0.01090,0.01858,-0.00524,0.00579,0.00600,0.00289,0.00636,-0.05438,-0.02862
1.92447,2.05617,0.05108,0.06461,0.46885,0.47006,0.04493,0.02940,0.01599,0.06901,-0.02886,-0.07322,0.02279,0.02173,0.01381,-0.16273,0.05459,0.00414,0.00959,0.07969,-0.02371,0.00416,-0.08552,-0.12215,-0.12112,0.00994
2.08576,2.03176,0.00610,0.08183,0.49511,0.45738,-0.00670,-0.00106,0.00087,-0.01372,-0.00186,0.00329,-0.00866,0.00366,-0.05843,-0.00210,-0.01540,0.02911,0.05400,-0.02125,-0.01940,0.05831,0.06891,-0.01397,-0.07759,0.03845
1.94194,2.02997,0.02539,0.08528,0.48805,0.46622,0.00293,-0.02434,-0.02415,-0.01115,-0.00802,0.00467,-0.04500,-0.01219,0.04587,-0.17858,0.08219,0.01966,0.05011,0.11086,-0.09527,0.10441,-0.13363,-0.04289,-0.12143,0.07681
1.99183,2.00963,0.02134,0.05971,0.48455,0.46313,0.00383,0.03166,0.01311,0.04349,0.01882,-0.02949,-0.04588,-0.01564,0.00228,-0.05263,0.03166,0.00364,0.05350,0.05808,-0.01329,0.02536,0.05145,-0.00032,-0.01840,0.11166
2.03048,1.98961,0.03174,0.08881,0.50932,0.46646,0.02279,-0.01573,-0.03945,-0.00079,-0.02485,0.02108,-0.01826,-0.00175,-0.01552,-0.14331,0.07997,0.07339,0.06092,0.09876,0.02797,0.11818,-0.04244,-0.06768,-0.10431,-0.03430
1.95481,2.04157,0.03451,0.05017,0.50694,0.47779,0.01535,0.03231,-0.03960,-0.01451,-0.08652,-0.02300,-0.00228,0.03732,0.01380,0.02463,0.03839,-0.01523,0.04273,0.06643,-0.10316,0.09450,0.00987,0.07457,-0.09244,-0.05290
1.95081,2.03596,0.05289,0.05128,0.50421,0.47896,0.01901,0.07594,-0.05691,0.00380,-0.13547,-0.03956,-0.00262,0.07936,0.01881,0.00859,0.03795,-0.01705,0.03490,0.05646,-0.10108,0.10013,0.00353,0.06318,-0.09614,-0.07069
2.03029,1.98580,0.03027,0.06120,0.49509,0.47534,0.02399,0.04644,0.03171,-0.03032,0.01338,-0.01667,0.01849,-0.00157,0.01365,-0.04608,0.07090,0.07557,0.08981,0.04774,-0.08587,0.04170,0.07171,-0.05800,-0.11025,0.04546
1.97803,2.05113,0.03177,0.02507,0.48839,0.46173,-0.00488,-0.04182,0.01282,0.00557,-0.01459,-0.00193,-0.02542,-0.03031,0.02151,-0.01401,0.02408,0.00983,0.03178,0.03166,-0.00250,0.01640,-0.02700,0.01642,-0.01989,-0.01112
1.97987,2.06649,0.03459,0.02473,0.48745,0.46320,-0.00131,-0.05890,0.02421,0.00951,-0.01125,0.00251,-0.01647,-0.03087,0.02006,-0.01348,0.02113,0.01053,0.03063,0.02886,-0.00662,0.01374,-0.02626,0.01944,-0.02235,-0.01956
2.02477,1.99151,0.07856,0.11890,0.48994,0.45570,0.00761,-0.04781,0.06233,-0.04074,-0.03924,-0.02587,0.04888,0.06691,0.09066,-0.24134,0.10092,0.06059,0.10270,0.24949,0.18793,0.03172,-0.06969,0.01101,-0.09906,0.06387
2.00115,2.04920,0.06000,0.03260,0.48647,0.47821,-0.03276,0.02683,-0.00695,0.00080,-0.01571,-0.00878,-0.00620,-0.03559,0.00102,0.02573,-0.00574,0.01902,0.03598,-0.05313,-0.00166,0.04511,0.03864,-0.00607,-0.07312,0.00053
2.00513,2.02246,0.05303,0.03257,0.48243,0.48487,-0.03430,0.00711,-0.01769,0.01888,-0.00004,-0.00815,-0.02279,-0.01930,-0.01796,-0.02310,-0.00505,-0.00302,0.04172,-0.02193,0.01365,0.02556,0.01941,-0.00987,-0.06466,-0.04700
2.05766,2.05097,0.01264,0.03215,0.45825,0.44861,-0.01986,-0.00624,-0.01319,0.00207,-0.02023,-0.00856,0.00062,-0.01506,-0.03255,-0.01102,-0.01709,-0.02415,0.03155,-0.01427,-0.04540,0.03145,0.01431,-0.05161,-0.05522,0.04901
2.03942,2.04800,0.07366,0.02045,0.47992,0.48630,-0.06921,-0.06958,0.06064,-0.02449,-0.02381,0.07206,-0.02201,-0.09255,-0.00722,-0.00482,-0.00370,0.00481,0.03719,-0.00549,-0.01170,0.01550,-0.03424,-0.03103,-0.03080,-0.01134
2.03500,2.03648,0.02744,0.02428,0.52334,0.48492,-0.00363,-0.02376,0.03521,0.00403,-0.00488,-0.00749,-0.03897,-0.04366,-0.02069,-0.00179,-0.00832,0.02165,0.04720,-0.01049,0.00565,0.00793,0.02002,-0.03490,-0.02303,0.01956
