beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,phi_manual,phi_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
-0.07439,0.01374,0.12642,0.10506,14.16775,14.83279,0.09310,-0.06959,-0.01836,-0.05763,-0.07280,-0.06493,0.18471,0.08753,-0.00701,-0.09862,-0.06773,-0.17963,-0.22723,-0.11538,-0.00995,-0.00309,-0.02514,0.15550,0.00702,-0.22618
-0.13861,-0.13129,0.27131,0.11454,15.59859,15.04019,0.20178,0.19082,-0.10899,-0.04952,-0.03042,0.41703,0.21685,0.19268,0.07377,-0.01155,0.04199,-0.02877,-0.10102,-0.02218,0.10386,0.09542,0.00532,0.19624,0.12619,0.30314
-0.08979,-0.09920,0.14801,0.17242,14.81193,15.05288,0.12969,-0.09102,-0.06611,-0.07900,-0.08886,-0.11175,0.29861,0.23697,-0.02224,-0.03173,0.00564,-0.10780,-0.08169,-0.05353,0.16206,-0.04691,0.37949,0.19597,0.11092,-0.48890
-0.09923,-0.07948,0.13482,0.19028,15.57298,14.68343,0.02591,-0.07178,-0.01543,-0.10090,-0.02138,-0.02032,0.23342,0.17426,0.15700,-0.12213,0.00420,-0.06264,-0.13634,0.00032,0.17034,-0.06976,0.22031,0.21605,-0.05225,-0.25803
-0.09206,-0.12616,0.18741,0.08767,15.02717,14.95650,0.11120,0.02893,-0.13840,-0.02458,-0.05244,0.01437,0.12097,0.22488,-0.03912,0.04719,0.01533,-0.03186,-0.08223,-0.00734,0.06008,0.10525,0.05927,0.14696,0.07082,-0.03237
-0.05378,-0.11274,0.13759,0.08083,15.43324,14.38986,0.04468,0.01183,-0.10831,-0.04607,-0.05991,0.07913,0.03132,0.14776,-0.00552,0.00814,0.05436,-0.05584,-0.08224,-0.01126,0.08408,0.01463,0.14102,0.12811,0.01175,-0.01294
-0.09553,-0.07519,0.12108,0.09401,15.97982,15.69331,0.12356,0.08348,-0.05471,-0.09952,-0.08879,0.23903,-0.08697,0.15692,-0.04411,-0.06424,0.05927,-0.08202,-0.13601,-0.08741,-0.05256,0.06349,0.14347,0.10707,0.05816,0.02172
-0.09068,-0.05238,0.16545,0.10710,14.02501,14.56878,0.09009,-0.33453,-0.14381,-0.14282,-0.02888,-0.02425,0.45191,0.16078,0.07527,-0.02467,-0.07309,-0.08635,-0.15699,-0.03731,0.15058,-0.03604,0.02831,0.10315,-0.04480,-0.02540
0.01482,-0.03357,0.08216,0.09051,15.99952,15.58302,0.02836,0.12992,-0.20443,-0.09923,-0.16558,-0.02180,0.02555,0.17236,-0.07068,-0.11933,-0.04034,-0.13910,-0.18273,-0.03791,-0.06986,0.03599,0.09177,0.16320,-0.01311,0.00460
-0.00880,0.00321,0.07985,0.11503,13.66849,15.10021,-0.00313,0.12978,-0.14911,-0.04383,-0.14290,0.01861,-0.02007,0.20298,-0.02527,-0.19181,-0.01743,-0.20030,-0.19335,-0.03671,-0.13808,-0.04364,0.10872,0.06215,-0.10446,0.08135
-0.00034,-0.07506,0.06709,0.11432,14.92331,14.81406,0.08632,-0.09349,-0.05582,-0.12892,-0.06929,0.07333,0.07301,-0.03926,0.04005,-0.00231,-0.06632,-0.09592,-0.11672,-0.03590,0.08756,0.05977,0.06628,0.23699,0.05112,-0.21923
0.04894,-0.11703,0.07923,0.12675,15.74483,15.99199,-0.03380,0.01513,-0.08516,-0.09793,-0.05040,-0.03075,0.12156,-0.01212,0.02792,-0.06528,0.06580,-0.09790,-0.09034,0.01451,0.06008,-0.02769,0.16705,0.11091,-0.01673,0.07988
