beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,lambda_manual,lambda_acclka,gamma_manual__1,gamma_Z_manual__3,gamma_Z_manual__4,gamma_Z_manual__10,gamma_Z_manual__11,gamma_Z_manual__13,gamma_Z_manual__14,gamma_Z_manual__17,gamma_Z_acclka__2,gamma_Z_acclka__3,gamma_Z_acclka__5,gamma_Z_acclka__6,gamma_Z_acclka__7,gamma_Z_acclka__8,gamma_Z_acclka__9,gamma_Z_acclka__11,gamma_Z_acclka__12,gamma_Z_acclka__14,gamma_Z_acclka__15,gamma_Z_acclka__16
4.57062,8.97229,1.86618,1.33161,1.61973,1.45691,0.16348,0.79082,-5.10793,1.13571,-3.52822,2.25891,3.63792,0.95440,1.17616,-0.89155,1.28730,-2.24462,-0.46001,-0.15769,0.96154,-0.95119,-0.73625,-0.67866,1.04860,1.20733
1.64273,5.22011,1.07254,0.31029,1.68477,1.47413,3.03887,0.23451,-1.95626,-0.58635,2.84359,-0.15743,-0.35625,0.35029,-0.25372,0.21266,-0.24510,0.29208,0.03550,0.06777,-0.29943,0.39232,0.14040,0.03762,-0.29414,-0.05522
4.87679,5.85768,1.98912,1.87252,1.69104,1.43442,-0.91481,-1.44391,-5.22526,-1.37617,-3.81466,-0.49058,1.89142,0.89473,1.53039,-1.85569,2.79245,-2.42978,0.93238,0.29547,2.14640,-2.89211,0.97267,-2.03192,1.03188,1.09557
1.61295,4.39802,1.37780,0.09129,1.56654,1.56512,0.42878,-0.57709,-1.95152,1.51216,1.59216,1.07770,2.06322,1.30182,0.03119,0.11547,-0.10149,0.08115,0.09476,0.07964,0.00342,0.07236,0.03493,-0.02148,-0.10997,-0.06705
1.10127,5.60212,1.63969,2.02868,1.71234,1.47578,1.55371,-0.40313,-1.61188,1.63487,2.14477,3.57492,0.37544,1.88450,2.21643,-0.48326,-0.83422,-0.91621,-2.59716,0.44442,1.38144,3.12173,0.13344,-2.64806,-0.89892,-5.45264
0.14309,8.97616,0.98335,0.23447,1.61408,1.46189,1.80320,-0.66830,-0.53169,0.11887,0.63458,0.73482,0.96026,1.45683,0.54524,-0.26881,-0.78124,-0.11655,-0.19901,-0.15365,0.11694,0.35139,0.24188,-0.20203,0.28731,-0.67778
1.37430,3.69478,0.81103,1.86895,1.81982,1.46681,0.75959,0.48764,-1.74723,-0.78879,-0.64152,-0.26344,-0.01310,0.96167,-2.18259,2.55788,0.60906,1.86791,-0.37950,0.06474,1.89889,-2.28402,1.18137,-1.16922,-1.50685,5.46671
2.57808,9.01080,1.64547,0.44591,1.60252,1.48112,-0.26471,2.78719,-2.98864,-0.87076,-0.63046,3.26548,1.12699,-0.09429,0.60871,0.00557,0.22303,0.34159,-0.02003,-0.72953,-0.49582,-0.34756,0.20824,0.00831,0.66090,0.98040
3.70371,4.80680,0.35271,1.56759,1.56174,1.44636,0.28713,-0.22786,0.04154,-0.24778,0.08764,-0.67440,-0.17947,0.30323,-0.70939,1.65124,-1.10889,-1.83588,0.39970,4.20352,3.51721,-0.86946,0.60887,-0.13545,-1.82837,-2.75851
3.90735,6.44909,0.60457,0.25648,1.49377,1.45584,-0.66055,0.02438,0.00080,0.71245,0.01128,-0.29677,-1.15089,0.03620,0.47533,-0.10940,0.05621,-0.11666,-0.06820,-0.14219,-0.15870,0.00970,-0.38087,0.27411,0.04210,0.00007
0.89698,9.30856,0.74500,1.19318,1.62235,1.47713,1.09457,0.06244,-0.87141,-1.06396,-0.23302,0.36967,0.34222,0.14558,-2.16019,0.34956,0.84869,0.30446,0.97337,0.79870,1.59525,-0.03948,1.92037,-1.16226,-0.78423,-0.05163
